field_name,field_type
total_liabilities_fq,fundamental_price
total_revenue,fundamental_price
total_shares_outstanding_fundamental,number
UOUOUO|1UO|5UO|15UO|30UO|60UO|120UO|240UO|1WUO|1M,number
earnings_release_next_date,time
Volatility.D,number
Volatility.M,number
Volatility.W,number
VWAPVWAPVWAP|1VWAP|5VWAP|15VWAP|30VWAP|60VWAP|120VWAP|240VWAP|1WVWAP|1M,number
VWMAVWMAVWMA|1VWMA|5VWMA|15VWMA|30VWMA|60VWMA|120VWMA|240VWMA|1WVWMA|1M,number
Perf.W,number
W.RW.RW.R|1W.R|5W.R|15W.R|30W.R|60W.R|120W.R|240W.R|1WW.R|1M,number
Perf.Y,number
Perf.YTD,number
currency,string
total_shares_outstanding,number
market_cap_calc,number
ADRPADRPADRP|1ADRP|5ADRP|15ADRP|30ADRP|60ADRP|120ADRP|240ADRP|1WADRP|1M,number
ADX+DI[1]ADX+DI[1]ADX+DI[1]|1ADX+DI[1]|5ADX+DI[1]|15ADX+DI[1]|30ADX+DI[1]|60ADX+DI[1]|120ADX+DI[1]|240ADX+DI[1]|1WADX+DI[1]|1M,number
ADX+DI_9ADX+DI_9ADX+DI_9|1ADX+DI_9|5ADX+DI_9|15ADX+DI_9|30ADX+DI_9|60ADX+DI_9|120ADX+DI_9|240ADX+DI_9|1WADX+DI_9|1M,number
